blue_freq_rep_1,blue_real_rep_1,blue_imaginary_rep_1,blue_freq_rep_2,blue_real_rep_2,blue_imaginary_rep_2
99998,18431,9770.2,99998,18431,9770.2
61896,21227,9233.8,61896,21227,9233.8
38312,24138,8954.7,38312,24138,8954.7
23714,26226,8870.8,23714,26226,8870.8
14678,28326,9379.7,14678,28326,9379.7
9085.2,30674,10743,9085.2,30674,10743
5623.3,33369,12652,5623.3,33369,12652
3480.6,36864,15574,3480.6,36864,15574
2154.4,41223,18989,2154.4,41223,18989
6463.1,32420,11980,6463.1,32420,11980
10772,29642,10091,10772,29642,10091
15080,28307,9490.6,15080,28307,9490.6
19389,27024,9006.2,19389,27024,9006.2
1333.5,47166,23574,1333.5,47166,23574
4000.5,35507,14585,4000.5,35507,14585
6667.5,32076,11777,6667.5,32076,11777
9334.5,30425,10546,9334.5,30425,10546
12002,29185,9782.8,12002,29185,9782.8
825.39,53861,28315,825.39,53861,28315
2476.2,39807,17867,2476.2,39807,17867
4127,35532,14125,4127,35532,14125
5777.7,33106,12580,5777.7,33106,12580
7428.5,31566,11788,7428.5,31566,11788
510.9,61811,34351,510.9,61811,34351
1532.7,44735,21973,1532.7,44735,21973
2554.5,39407,17700,2554.5,39407,17700
3576.3,36426,15406,3576.3,36426,15406
4598.1,34444,13908,4598.1,34444,13908
316.22,71879,41961,316.22,71879,41961
948.67,51289,26889,948.67,51289,26889
1581.1,44647,21982,1581.1,44647,21982
2213.6,41006,18832,2213.6,41006,18832
2846,38384,16836,2846,38384,16836
195.73,82841,52353,195.73,82841,52353
587.19,60151,33418,587.19,60151,33418
978.65,50836,26201,978.65,50836,26201
1370.1,46619,22503,1370.1,46619,22503
1761.6,43452,20311,1761.6,43452,20311
2544.5,39068,17772,2544.5,39068,17772
3718.9,36423,15028,3718.9,36423,15028
4893.3,34060,13474,4893.3,34060,13474
6459.1,32304,12045,6459.1,32304,12045
8024.9,30861,11287,8024.9,30861,11287
9982.3,29841,10277,9982.3,29841,10277
11940,29086,9970.6,11940,29086,9970.6
14288,28319,9344,14288,28319,9344
17029,27731,9198.1,17029,27731,9198.1
19377,27024,9047,19377,27024,9047
121.15,2.159e+05,1.0512e+05,121.15,2.159e+05,1.0512e+05
363.45,69151,40318,363.45,69151,40318
605.75,58205,32047,605.75,58205,32047
848.05,53033,28120,848.05,53033,28120
1090.4,48958,25488,1090.4,48958,25488
1575,44721,21610,1575,44721,21610
2301.9,40074,18467,2301.9,40074,18467
3028.8,37794,16247,3028.8,37794,16247
3998,35682,14655,3998,35682,14655
4967.2,34030,13541,4967.2,34030,13541
6178.7,32606,12348,6178.7,32606,12348
7390.2,31591,11275,7390.2,31591,11275
8844,30495,10802,8844,30495,10802
10540,29626,10124,10540,29626,10124
11994,29172,9791.7,11994,29172,9791.7
74.988,1.1342e+05,69557,74.988,1.1342e+05,69557
224.96,79997,49496,224.96,79997,49496
374.94,67359,39437,374.94,67359,39437
524.92,60115,33459,524.92,60115,33459
674.89,56428,30943,674.89,56428,30943
974.85,50951,26734,974.85,50951,26734
1424.8,46040,22761,1424.8,46040,22761
1874.7,42393,20190,1874.7,42393,20190
2474.6,39687,17867,2474.6,39687,17867
3074.5,37720,16534,3074.5,37720,16534
3824.4,35865,15052,3824.4,35865,15052
4574.3,34507,13774,4574.3,34507,13774
5474.1,33291,12832,5474.1,33291,12832
6524,32295,12009,6524,32295,12009
7423.8,31612,11252,7423.8,31612,11252
46.415,1.3404e+05,97467,46.415,1.3404e+05,97467
139.25,93006,62059,139.25,93006,62059
232.08,79732,48865,232.08,79732,48865
324.91,70413,42447,324.91,70413,42447
417.74,65334,38227,417.74,65334,38227
603.4,58480,32159,603.4,58480,32159
881.89,52326,27990,881.89,52326,27990
1160.4,48440,24599,1160.4,48440,24599
1531.7,44932,21920,1531.7,44932,21920
1903,42638,19917,1903,42638,19917
2367.2,40206,18488,2367.2,40206,18488
2831.3,38499,16814,2831.3,38499,16814
3388.3,37010,15646,3388.3,37010,15646
4038.1,35479,14630,4038.1,35479,14630
4595.1,34585,13677,4595.1,34585,13677
28.729,1.5915e+05,1.262e+05,28.729,1.5915e+05,1.262e+05
86.188,1.098e+05,70263,86.188,1.098e+05,70263
143.65,92991,57042,143.65,92991,57042
201.11,82345,51076,201.11,82345,51076
